"order","header","sdkPath","partition","namespace","status"
"114","wtypes.h","/shared/wtypes.h","Base","Windows.Win32.System.SystemServices","queued"
"115","minwinbase.h","/um/minwinbase.h","Base","Windows.Win32.System.SystemServices","queued"
"116","storprop.h","/um/storprop.h","Base","Windows.Win32.System.SystemServices","queued"
"117","Bits.h","/um/Bits.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"118","bits1_5.h","/um/bits1_5.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"119","bits10_1.h","/um/bits10_1.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"120","bits10_2.h","/um/bits10_2.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"121","bits10_3.h","/um/bits10_3.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"122","bits2_0.h","/um/bits2_0.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"123","bits2_5.h","/um/bits2_5.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"124","Bits3_0.h","/um/Bits3_0.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"125","bits4_0.h","/um/bits4_0.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"126","bits5_0.h","/um/bits5_0.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"127","bitscfg.h","/um/bitscfg.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"128","bitsmsg.h","/um/bitsmsg.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"129","qmgr.h","/um/qmgr.h","Bits","Windows.Win32.Networking.BackgroundIntelligentTransferService","queued"
"130","bthdef.h","/shared/bthdef.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"131","bthioctl.h","/shared/bthioctl.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"132","bthsdpdef.h","/shared/bthsdpdef.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"133","bluetoothapis.h","/um/bluetoothapis.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"134","bluetoothleapis.h","/um/bluetoothleapis.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"135","bthledef.h","/um/bthledef.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"136","ws2bth.h","/um/ws2bth.h","Bluetooth","Windows.Win32.Devices.Bluetooth","queued"
"137","genericusbfnioctl.h","/shared/genericusbfnioctl.h","Buses","Windows.Win32.Devices.Usb","queued"
"138","usb.h","/shared/usb.h","Buses","Windows.Win32.Devices.Usb","queued"
"139","usb4dbgioctl.h","/shared/usb4dbgioctl.h","Buses","Windows.Win32.Devices.Usb","queued"
"140","usbfnbase.h","/shared/usbfnbase.h","Buses","Windows.Win32.Devices.Usb","queued"
"141","usbioctl.h","/shared/usbioctl.h","Buses","Windows.Win32.Devices.Usb","queued"
"142","usbiodef.h","/shared/usbiodef.h","Buses","Windows.Win32.Devices.Usb","queued"
"143","usbscan.h","/shared/usbscan.h","Buses","Windows.Win32.Devices.Usb","queued"
"144","usbspec.h","/shared/usbspec.h","Buses","Windows.Win32.Devices.Usb","queued"
"145","winusbio.h","/shared/winusbio.h","Buses","Windows.Win32.Devices.Usb","queued"
"146","usb.h","/um/usb.h","Buses","Windows.Win32.Devices.Usb","queued"
"147","usbuser.h","/um/usbuser.h","Buses","Windows.Win32.Devices.Usb","queued"
"148","winusb.h","/um/winusb.h","Buses","Windows.Win32.Devices.Usb","queued"
"149","fci.h","/um/fci.h","Cabinets","Windows.Win32.Storage.Cabinets","queued"
"150","fdi_fci_types.h","/um/fdi_fci_types.h","Cabinets","Windows.Win32.Storage.Cabinets","queued"
"151","fdi.h","/um/fdi.h","Cabinets","Windows.Win32.Storage.Cabinets","queued"
"152","windowsceip.h","/um/windowsceip.h","CEIP","Windows.Win32.System.Diagnostics.Ceip","queued"
"153","CertAdm.h","/um/CertAdm.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"154","certbase.h","/um/certbase.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"155","CertBCli.h","/um/CertBCli.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"156","CertCli.h","/um/CertCli.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"157","CertEnc.h","/um/CertEnc.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"158","certenroll.h","/um/certenroll.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"159","CertExit.h","/um/CertExit.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"160","Certif.h","/um/Certif.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"161","CertMod.h","/um/CertMod.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"162","CertPol.h","/um/CertPol.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"163","CertPolEng.h","/um/CertPolEng.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"164","certreqd.h","/um/certreqd.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"165","certsrv.h","/um/certsrv.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"166","CertView.h","/um/CertView.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"167","xenroll.h","/um/xenroll.h","Certificates","Windows.Win32.Security.Cryptography.Certificates","queued"
"168","cfapi.h","/um/cfapi.h","Cloudapi","Windows.Win32.Storage.CloudFilters","queued"
"169","gchost.h","/um/gchost.h","ClrHosting","Windows.Win32.System.ClrHosting","queued"
"170","metahost.h","/um/metahost.h","ClrHosting","Windows.Win32.System.ClrHosting","queued"
"171","mscoree.h","/um/mscoree.h","ClrHosting","Windows.Win32.System.ClrHosting","queued"
"172","corprof.h","/um/corprof.h","ClrProfiling","Windows.Win32.System.Diagnostics.ClrProfiling","queued"
"173","compressapi.h","/um/compressapi.h","CmpApi","Windows.Win32.Storage.Compression","queued"
"174","dmerror.h","/shared/dmerror.h","Com","Windows.Win32.System.Com","queued"
"175","guiddef.h","/shared/guiddef.h","Com","Windows.Win32.System.Com","queued"
"176","WTypesbase.h","/shared/WTypesbase.h","Com","Windows.Win32.System.Com","queued"
"177","cguid.h","/um/cguid.h","Com","Windows.Win32.System.Com","queued"
"178","combaseapi.h","/um/combaseapi.h","Com","Windows.Win32.System.Com","queued"
"179","comcat.h","/um/comcat.h","Com","Windows.Win32.System.Com","queued"
"180","ctxtcall.h","/um/ctxtcall.h","Com","Windows.Win32.System.Com","queued"
"181","IAccess.h","/um/IAccess.h","Com","Windows.Win32.System.Com","queued"
"182","objbase.h","/um/objbase.h","Com","Windows.Win32.System.Com","queued"
"183","ObjIdl.h","/um/ObjIdl.h","Com","Windows.Win32.System.Com","queued"
"184","ObjIdlbase.h","/um/ObjIdlbase.h","Com","Windows.Win32.System.Com","queued"
"185","servprov.h","/um/servprov.h","Com","Windows.Win32.System.Com","queued"
"186","txlogpub.h","/um/txlogpub.h","Com","Windows.Win32.System.Com","queued"
"187","Unknwn.h","/um/Unknwn.h","Com","Windows.Win32.System.Com","queued"
"188","Unknwnbase.h","/um/Unknwnbase.h","Com","Windows.Win32.System.Com","queued"
"189","callobj.h","/um/callobj.h","Com.CallObj","Windows.Win32.System.Com.CallObj","queued"
"190","ichannelcredentials.h","/um/ichannelcredentials.h","Com.ChannelCreds","Windows.Win32.System.Com.ChannelCredentials","queued"
"191","EventSys.h","/um/EventSys.h","Com.Events","Windows.Win32.System.Com.Events","queued"
"192","coml2api.h","/um/coml2api.h","Com.StructuredStorage","Windows.Win32.System.Com.StructuredStorage","queued"
"193","propapi.h","/um/propapi.h","Com.StructuredStorage","Windows.Win32.System.Com.StructuredStorage","queued"
"194","PropIdl.h","/um/PropIdl.h","Com.StructuredStorage","Windows.Win32.System.Com.StructuredStorage","queued"
"195","PropIdlBase.h","/um/PropIdlBase.h","Com.StructuredStorage","Windows.Win32.System.Com.StructuredStorage","queued"
"196","urlmon.h","/um/urlmon.h","Com.Urlmon","Windows.Win32.System.Com.Urlmon","queued"
"197","cellularapi_oem.h","/um/cellularapi_oem.h","Communication","Windows.Win32.Devices.Communication","queued"
"198","mcx.h","/um/mcx.h","Communication","Windows.Win32.Devices.Communication","queued"
"199","DispEx.h","/um/DispEx.h","ComOle","Windows.Win32.System.Ole","queued"
"200","DocObj.h","/um/DocObj.h","ComOle","Windows.Win32.System.Ole","queued"
"201","idispids.h","/um/idispids.h","ComOle","Windows.Win32.System.Ole","queued"
"202","OAIdl.h","/um/OAIdl.h","ComOle","Windows.Win32.System.Ole","queued"
"203","OCIdl.h","/um/OCIdl.h","ComOle","Windows.Win32.System.Ole","queued"
"204","ole.h","/um/ole.h","ComOle","Windows.Win32.System.Ole","queued"
"205","ole2.h","/um/ole2.h","ComOle","Windows.Win32.System.Ole","queued"
"206","OleAuto.h","/um/OleAuto.h","ComOle","Windows.Win32.System.Ole","queued"
"207","OleCtl.h","/um/OleCtl.h","ComOle","Windows.Win32.System.Ole","queued"
"208","OleDlg.h","/um/OleDlg.h","ComOle","Windows.Win32.System.Ole","queued"
"209","oleidl.h","/um/oleidl.h","ComOle","Windows.Win32.System.Ole","queued"
"210","vbinterf.h","/um/vbinterf.h","ComOle","Windows.Win32.System.Ole","queued"
"211","presentation.h","/um/presentation.h","CompositionSwapchain","Windows.Win32.Graphics.CompositionSwapchain","queued"
"212","presentationtypes.h","/um/presentationtypes.h","CompositionSwapchain","Windows.Win32.Graphics.CompositionSwapchain","queued"
"213","consoleapi.h","/um/consoleapi.h","Console","Windows.Win32.System.Console","queued"
"214","consoleapi2.h","/um/consoleapi2.h","Console","Windows.Win32.System.Console","queued"
"215","consoleapi3.h","/um/consoleapi3.h","Console","Windows.Win32.System.Console","queued"
"216","consoleapis.h","/um/consoleapis.h","Console","Windows.Win32.System.Console","queued"
"217","wincon.h","/um/wincon.h","Console","Windows.Win32.System.Console","queued"
